rating_id,user_id,service_id,rating
1,257,291,1.8
2,164,473,3.4
3,99,599,3.3
4,64,219,1.0
5,167,314,4.7
6,68,567,2.9
7,265,118,3.5
8,109,415,4.6
9,234,462,1.0
10,5,499,1.5
11,122,108,3.5
12,220,520,4.4
13,242,572,1.4
14,237,472,1.2
15,277,212,2.4
16,138,37,3.7
17,106,141,4.3
18,154,204,4.2
19,183,490,1.1
20,132,411,4.8
21,83,436,2.5
22,4,201,3.8
23,56,434,2.5
24,267,476,4.8
25,245,313,2.6
26,192,97,3.2
27,208,157,1.8
28,198,46,2.7
29,156,74,1.2
30,193,141,1.7
31,51,295,3.5
32,145,546,1.3
33,157,40,4.9
34,297,490,4.9
35,293,304,4.0
36,131,409,1.8
37,61,484,3.3
38,34,225,2.7
39,112,491,2.8
40,223,511,1.0
41,149,284,2.8
42,1,490,3.9
43,203,2,2.8
44,153,272,4.1
45,208,288,2.1
46,296,124,2.0
47,277,505,3.6
48,34,315,3.6
49,258,411,3.5
50,284,149,2.0
51,167,555,4.1
52,100,388,4.3
53,87,162,1.4
54,54,467,3.4
55,218,568,1.7
56,132,176,4.5
57,111,89,3.6
58,223,39,4.5
59,167,281,1.4
60,220,587,4.3
61,140,574,1.0
62,276,279,4.0
63,278,102,1.7
64,150,81,2.2
65,10,576,3.3
66,125,167,1.9
67,182,49,4.1
68,248,125,3.6
69,140,349,3.7
70,146,465,3.4
71,211,364,4.3
72,296,208,4.3
73,104,544,4.6
74,45,476,3.0
75,235,161,2.7
76,279,68,2.7
77,287,546,3.7
78,296,284,3.3
79,63,77,2.0
80,82,30,2.5
81,96,302,1.8
82,121,396,4.0
83,78,346,2.5
84,150,440,2.3
85,27,238,4.0
86,135,550,2.7
87,162,230,4.0
88,147,247,4.8
89,292,80,4.9
90,257,471,4.4
91,131,318,3.1
92,58,322,3.5
93,119,484,3.9
94,74,137,4.7
95,211,325,4.7
96,108,101,1.5
97,243,69,3.2
98,42,382,2.4
99,78,510,2.2
100,106,190,1.9
101,29,571,3.2
102,68,74,1.3
103,208,274,4.4
104,50,401,4.8
105,101,237,2.1
106,153,280,3.4
107,178,135,1.6
108,235,217,2.8
109,200,417,2.5
110,89,376,4.9
111,230,331,1.2
112,288,576,2.9
113,233,104,1.5
114,276,33,3.9
115,68,589,4.3
116,140,506,1.8
117,151,29,3.5
118,90,70,3.6
119,225,139,4.3
120,6,345,3.5
121,4,527,1.6
122,199,439,1.5
123,278,249,4.1
124,144,599,1.5
125,174,526,3.3
126,263,197,1.2
127,121,392,2.5
128,144,525,2.8
129,175,418,1.2
130,46,303,3.8
131,197,447,1.7
132,163,397,4.8
133,61,514,1.5
134,256,122,1.1
135,176,68,1.1
136,33,576,3.2
137,185,574,4.0
138,190,384,4.1
139,101,28,1.9
140,155,443,3.5
141,219,200,4.7
142,297,188,4.7
143,267,304,4.7
144,226,521,3.4
145,290,345,3.0
146,172,175,1.3
147,44,565,3.3
148,116,164,1.3
149,4,68,2.8
150,108,476,3.9
151,243,108,3.7
152,10,228,2.5
